@relation ObtainTorque

@attribute node numeric
@attribute torque numeric
@attribute distance numeric

@data
1,480,320.920502
1,540,266.060638
1,600,87.152115
1,660,473.657501
1,300,84.424034
1,360,254.365784
1,420,255.801498
1,480,255.631516
1,540,272.889648
1,600,279.237549
1,660,16.659922
1,300,83.622269
1,360,203.042313
1,420,204.926483
1,480,204.22049
1,540,265.544281
1,600,14.716543
1,660,473.267334
1,300,83.724365
1,360,122.859825
1,420,121.959435
1,480,123.204872
1,540,267.155853
1,600,13.280293
1,660,16.652805
1,300,86.108765
1,360,2.77895
1,420,98.42556
1,480,100.860847
1,540,12.087879
1,600,16.662867
1,660,138.634201
1,300,16.669937
1,360,2.923392
1,420,100.801567
1,480,101.169968
1,540,273.703888
1,600,278.368683
1,660,16.631308
1,300,83.441772
1,360,102.278046
1,420,97.062538
1,480,266.597565
1,540,12.617441
1,600,16.661837
1,660,473.550385
1,300,86.731316
1,360,214.2854
1,420,100.117012
1,480,472.151367
1,540,272.865997
1,600,281.303314
1,660,139.128342
1,300,16.676254
1,360,265.117584
1,420,96.934349
1,480,101.304321
1,540,272.013947
1,600,25.393461
1,660,12.879189
1,300,16.680813
1,360,305.050049
1,420,98.38813
1,480,101.82193
1,540,278.732941
1,600,16.60533
1,660,473.90509
1,300,82.606133
1,360,334.464447
1,420,100.452827
1,480,11.046642
1,540,16.666159
1,600,281.226166
1,660,16.652971
1,300,84.161949
1,360,264.493744
1,420,99.446022
1,480,100.711433
1,540,13.095682
1,600,16.605062
1,660,473.693146
1,300,17.88493
1,360,326.817017
1,420,100.989494
1,480,100.985107
1,540,11.959542
1,600,16.663015
1,660,469.835846
1,300,17.883717
1,360,96.98629
1,420,16.67425
1,480,100.579987
1,540,13.670501
1,600,16.662889
1,660,138.545868
1,300,16.680405
1,360,363.403015
1,420,16.633142
1,480,25.765413
1,540,2.698881
1,600,16.644636
1,660,472.979767
1,300,17.864983
1,360,363.48761
1,420,16.650957
1,480,101.144096
1,540,269.909576
1,600,278.815369
1,660,16.585888
1,300,84.52317
1,360,264.348236
1,420,97.567162
1,480,100.902168
1,540,266.043304
1,600,84.564552
1,660,472.314331
1,300,82.558907
1,360,362.880585
1,420,97.751175
1,480,100.553398
1,540,12.970401
1,600,16.657103
1,660,473.163086
1,300,83.521042
1,360,248.869965
1,420,16.665993
1,480,100.702194
1,540,11.996591
1,600,16.637373
1,660,472.899933
1,300,84.517303
1,360,249.633987
1,420,16.672995
1,480,103.133209
1,540,266.700958
1,600,13.299809
1,660,16.594557
1,300,83.702835
1,360,42.208675
1,420,262.337494
1,480,27.076658
1,540,266.574249
1,600,16.546255
1,660,473.469727
1,300,84.223442
1,360,265.319305
1,420,113.305008
1,480,266.328308
1,540,13.091943
1,600,16.65748
1,660,26.590019
1,300,82.096954
1,360,342.189758
1,420,16.674576
1,480,100.682007
1,540,13.035693
1,600,16.424892
1,660,472.683716
1,300,84.718269
1,360,12.850987
1,420,16.672964
1,480,100.317154
1,540,12.437339
1,600,16.657482
1,660,473.470215
1,300,83.088318
1,360,248.680405
1,420,16.6691
1,480,100.548157
1,540,13.095876
1,600,16.657448
1,660,137.408142
1,300,16.672855
1,360,361.86734
1,420,114.852402
1,480,100.690926
1,540,13.670743
1,600,16.662844
1,660,88.720093
1,300,16.678282
1,360,263.975067
1,420,117.744751
1,480,101.169701
1,540,267.296265
1,600,13.604637
1,660,16.639132
1,300,85.447235
1,360,122.973679
1,420,100.910347
1,480,100.845528
1,540,12.673115
1,600,16.663477
1,660,472.63797
1,300,83.170822
1,360,363.378876
1,420,98.680328
1,480,100.414307
1,540,278.067444
1,600,16.657515
1,660,474.354584
1,300,82.161507
1,360,266.903839
1,420,100.745926
1,480,101.057365
1,540,12.320516
1,600,16.657316
1,660,473.40387
1,300,84.517647
1,360,365.035461
1,420,117.90873
1,480,100.956566
1,540,272.902832
1,600,278.883636
1,660,16.659836
1,300,83.516571
1,360,362.13501
1,420,97.852928
1,480,100.328796
1,540,12.265709
1,600,16.657187
1,660,138.615417
1,300,16.672777
1,360,263.859009
1,420,114.946709
1,480,100.342743
1,540,12.568411
1,600,16.66267
1,660,138.9655
1,300,16.653477
1,360,346.876678
1,420,98.002182
1,480,101.074875
1,540,278.186584
1,600,16.657047
1,660,473.64093
1,300,85.669006
1,360,266.452667
1,420,99.962776
1,480,10.93614
1,540,16.667017
1,600,278.207489
1,660,16.639385
1,300,83.695061
1,360,124.175949
1,420,99.603035
1,480,100.862625
1,540,269.141449
1,600,279.263092
1,660,16.594893
